entity_text,entity_type,source_url,source_title,sentence,confidence
FIVB Olympic Qualification Tournament,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Olympic Games
Champions    Runners up    Third place
  Fourth place

World Championship
Champions    Runners up    Third place
  Fourth place

World Cup
Champions    Runners up    Third place    Fourt",0.75
South American Olympic Qualification Tournament,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Olympic Games
Champions    Runners up    Third place
  Fourth place

World Championship
Champions    Runners up    Third place
  Fourth place

World Cup
Champions    Runners up    Third place    Fourt",0.75
World Championship Qualification Tournament,EVENT,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Olympic Games
Champions    Runners up    Third place
  Fourth place

World Championship
Champions    Runners up    Third place
  Fourth place

World Cup
Champions    Runners up    Third place    Fourt",0.75
7 July 2024,DATE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Olympic Games
Champions    Runners up    Third place
  Fourth place

World Championship
Champions    Runners up    Third place
  Fourth place

World Cup
Champions    Runners up    Third place    Fourt",0.6
Bebeto de Freitas,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Bebeto de Freitas (1984–1988)
 José Roberto Guimarães (1991–1996)
 Radamés Lattari (1997–2001)",0.9
José Roberto Guimarães,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Bebeto de Freitas (1984–1988)
 José Roberto Guimarães (1991–1996)
 Radamés Lattari (1997–2001)",0.9
Radamés Lattari,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Bebeto de Freitas (1984–1988)
 José Roberto Guimarães (1991–1996)
 Radamés Lattari (1997–2001)",0.9
Renan Dal Zotto,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Bernardo Rezende (2001–2016)
 Renan Dal Zotto (2017–2023)",0.9
Carlos Schwanke,PERSON,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Carlos Schwanke (2021 interim)
 Bernardo Rezende (2023–)",0.9
USSR,GPE,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Incidentally, the Maracanã Stadium holds the all-time volleyball attendance record when 95,000 turned out to watch Brazil beat the USSR in an open-air friendly game in 1983.",0.85
